ch4,ch5,ch3
0.001021,-0.009103,-0.003061
9e-05,-0.009409,-0.00362
-0.001129,-0.009204,-0.003505
-0.001753,-0.010435,-0.00331
-0.00158,-0.012186,-0.002648
-0.001516,-0.013471,-0.002537
-0.002434,-0.013725,-0.002963
-0.00353,-0.015127,-0.00371
-0.002727,-0.016046,-0.002883
-0.001134,-0.017889,-0.001091
-0.000981,-0.019355,0.000222
-0.001714,-0.019462,-0.001495
-0.002051,-0.019194,-0.003129
-0.002225,-0.020549,-0.003075
-0.002505,-0.022499,-0.002237
-0.00206,-0.022757,-0.001366
-0.00195,-0.021857,1.1e-05
-0.001651,-0.022911,0.000862
-0.001229,-0.023314,0.002656
-0.001183,-0.021268,0.004944
-0.001972,-0.019186,0.006185
-0.002304,-0.019666,0.003759
-0.000575,-0.019809,0.001113
0.001561,-0.018218,0.000865
0.001684,-0.01592,0.003086
0.001611,-0.014956,0.004412
0.002866,-0.015194,0.003326
0.002544,-0.015948,0.001945
-0.000171,-0.015243,0.001352
-0.002425,-0.012556,0.001228
-0.003551,-0.010572,-0.00011
-0.005431,-0.011556,-0.002634
-0.006724,-0.013329,-0.005461
-0.005962,-0.011756,-0.006817
-0.005194,-0.009384,-0.005701
-0.003083,-0.008864,-0.003081
-0.001549,-0.00816,-0.001526
-0.00208,-0.007942,-0.002022
-0.003039,-0.007991,-0.003325
-0.003351,-0.007905,-0.003395
-0.001896,-0.008615,-0.002323
-0.000169,-0.01045,-0.001603
-0.000712,-0.011231,-0.0015
-0.001579,-0.010147,-0.001967
-0.002037,-0.009798,-0.002667
-0.002741,-0.011828,-0.003546
-0.002842,-0.013133,-0.003832
-0.00367,-0.011665,-0.002421
-0.003864,-0.011288,-0.001177
-0.004316,-0.013086,-0.001575
-0.005068,-0.01428,-0.002127
-0.004588,-0.014496,-0.002911
-0.005522,-0.015143,-0.003514
-0.0075,-0.017114,-0.003535
-0.006269,-0.018279,-0.004239
-0.002592,-0.018126,-0.005324
-0.000574,-0.018154,-0.004898
-0.000935,-0.019489,-0.003835
-0.000905,-0.021,-0.004035
0.000291,-0.01991,-0.004635
0.002064,-0.01714,-0.003297
0.003178,-0.017634,-0.001355
0.003176,-0.018438,-0.001312
0.002794,-0.017863,-0.003417
0.002343,-0.01475,-0.004468
0.000927,-0.012786,-0.002862
-0.001321,-0.011978,-0.000462
-0.001971,-0.011182,-0.000137
6.6e-05,-0.010461,-0.000843
0.002559,-0.009814,-0.001381
0.002533,-0.01006,-0.002061
0.001797,-0.009011,-0.002977
0.002236,-0.005277,-0.003455
0.001745,-0.002009,-0.003086
-0.00105,-0.000861,-0.001886
-0.002494,-0.000366,-0.001789
-0.001538,-0.000975,-0.004869
-0.002165,-0.002501,-0.007758
-0.003772,-0.004367,-0.007666
-0.00432,-0.006887,-0.006444
-0.00317,-0.009291,-0.004517
-0.00171,-0.010237,-0.003129
-0.00135,-0.010191,-0.003701
-0.00068,-0.008442,-0.00496
0.001727,-0.007774,-0.004256
0.00264,-0.009204,-0.002174
-1.2e-05,-0.011265,-0.000103
-0.002069,-0.012218,-0.000145
-0.00217,-0.010567,-0.002172
-0.003933,-0.010062,-0.003585
-0.006915,-0.012494,-0.001886
-0.00675,-0.016471,-0.000321
-0.004282,-0.01873,-0.001328
-0.001666,-0.020062,-0.002892
0.000438,-0.019651,-0.003818
0.000469,-0.017688,-0.004113
-0.000651,-0.01628,-0.002737
-0.000909,-0.015955,-0.000957
-8.3e-05,-0.015813,-0.000376
0.000974,-0.015923,-0.001293
0.001189,-0.016829,-0.002253
0.000196,-0.016642,-0.001709
-0.000516,-0.015539,0.000996
-0.001445,-0.013928,0.000474
-0.003508,-0.014028,-0.002637
-0.003109,-0.015631,-0.002759
-0.002055,-0.016771,-0.00101
-0.002462,-0.016928,-0.000138
-0.001774,-0.016444,-0.000736
-0.001931,-0.015086,-0.001734
-0.004821,-0.012087,-0.003549
-0.007873,-0.008802,-0.005662
-0.007378,-0.006315,-0.0053
-0.004637,-0.006739,-0.00304
-0.002941,-0.008733,-0.002217
-0.002865,-0.009077,-0.002853
-0.002272,-0.009169,-0.003392
-0.003579,-0.008477,-0.003786
-0.003224,-0.007801,-0.003321
-0.000375,-0.008013,-0.003337
0.001307,-0.009728,-0.003507
0.000982,-0.010776,-0.003041
-2e-06,-0.009867,-0.003287
-0.000246,-0.008454,-0.003297
0.001959,-0.008765,-0.002352
0.005369,-0.011849,-0.002137
0.005677,-0.014245,-0.002864
0.001069,-0.014618,-0.003468
-0.003524,-0.014749,-0.002881
-0.004194,-0.014309,-0.000485
-0.004111,-0.014826,0.000135
-0.006274,-0.013967,-4.7e-05
-0.006024,-0.013674,0.000548
-0.004538,-0.015512,0.000614
-0.005547,-0.016803,0.000233
-0.007376,-0.017461,-0.00041
